COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,REGISTERED VOTERS - Republican,REGISTERED VOTERS - Nonpartisan,BALLOTS CAST TOTAL,BALLOTS CAST - Republican,BALLOTS CAST - Nonpartisan,BALLOTS CAST BLANK,Republican for U.S. Senate,Republican for U.S. Senate,Republican for U.S. Senate,Republican for U.S. House 3,Republican for U.S. House 3,Republican for U.S. House 4,Republican for U.S. House 4,Republican for State Senate 23,Republican for State Senate 23,Republican for State School Board 11 (Multi-County),Republican for State School Board 11 (Multi-County),Republican for Utah County Commission Seat A,Republican for Utah County Commission Seat A,Republican for Utah County Commission Seat B,Republican for Utah County Commission Seat B,Republican for Utah County Attorney,Republican for Utah County Attorney,Republican for Utah County Auditor,Republican for Utah County Auditor,School Board Alpine 2,School Board Alpine 2,School Board Alpine 2,School Board Alpine 4,School Board Alpine 4,School Board Alpine 4,School Board Alpine 7,School Board Alpine 7,School Board Alpine 7,School Board Alpine 7,School Board Nebo 4,School Board Nebo 4,School Board Nebo 4,School Board Provo 4,School Board Provo 4,School Board Provo 4,
,,,,REP,NON,,REP,NON,,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,
,,,VOTERS,VOTERS,VOTERS,BALLOTS CAST,BALLOTS CAST,BALLOTS CAST,BALLOTS CAST,BECKY EDWARDS,ALLY ISOM,MIKE LEE,CHRISTOPHER NILES HERROD,JOHN CURTIS,BURGESS OWENS,JAKE HUNSAKER,KEITH GROVER,BRANDON BECKHAM,KIM DEL GROSSO,CINDY DAVIS,AMELIA POWERS GARDNER,RENEE TRIBE,BILL LEE,BRANDON GORDON,DAVID O. LEAVITT,JEFF GRAY,ROD MANN,RUDY LIVINGSTON,JOYLIN LINCOLN,CHARLES MAX WOOD,WENDY RENCHER,LANA NELSON,SARAH L. BEESON,AMBER L. BONNER,JODI HASSON,COLE J. KELLEY,ADA WILSON,KARSTEN WALKER,ALAN D. HANSEN,BENJAMIN WOODWARD,RICK B. AINGE,JENNIFER PARTRIDGE,ANDREA B. PACE,ANGIE CARTER,
25,0001,AF301,1000,669,331,375,325,50,0,82,28,211,116,200,0,0,0,0,143,165,179,114,148,144,52,232,193,101,0,0,0,85,218,60,0,0,0,0,0,0,0,0,0,0,
25,0002,AF302,1028,688,340,386,325,61,0,105,17,202,125,185,0,0,0,0,142,170,172,134,151,150,72,224,186,111,0,0,0,100,195,79,0,0,0,0,0,0,0,0,0,0,
25,0003,AF304,1109,718,391,439,381,58,0,106,35,239,123,243,0,0,0,0,92,273,248,107,164,187,85,258,189,157,0,0,0,62,277,80,0,0,0,0,0,0,0,0,0,0,
25,0004,AF305,1143,772,371,518,441,77,0,153,30,254,150,281,0,0,0,0,125,299,252,148,212,190,98,288,215,173,0,0,0,50,412,50,0,0,0,0,0,0,0,0,0,0,
25,0005,AF306,984,662,322,452,385,67,1,112,27,241,107,265,0,0,0,0,142,212,224,121,167,177,77,257,231,105,0,0,0,73,331,37,0,0,0,0,0,0,0,0,0,0,
25,0006,AF307,188,120,68,78,69,9,0,14,4,50,24,44,0,0,0,0,24,42,43,22,37,31,11,50,37,26,0,0,0,18,42,15,0,0,0,0,0,0,0,0,0,0,
25,0007,AF308,951,686,265,337,304,33,0,90,26,185,99,200,0,0,0,0,111,175,174,106,147,133,70,198,136,137,0,0,0,93,120,104,0,0,0,0,0,0,0,0,0,0,
25,0008,AF310,673,673,0,341,341,0,0,83,20,237,115,210,0,0,0,0,164,147,177,132,163,152,82,222,153,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
25,0009,AF311,376,376,0,213,213,0,0,45,14,153,85,126,0,0,0,0,94,110,104,101,124,83,29,160,141,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
25,0010,AF312,700,700,0,337,337,0,0,98,27,212,101,233,0,0,0,0,103,224,217,107,173,152,108,198,203,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
25,0011,AF314,1134,639,495,361,277,84,0,74,19,181,89,181,0,0,0,0,98,169,173,84,138,117,68,181,150,105,0,0,0,65,221,64,0,0,0,0,0,0,0,0,0,0,
25,0012,AF316,1064,659,405,370,315,55,0,119,20,175,127,179,0,0,0,0,108,191,153,118,110,163,60,210,146,122,0,0,0,72,217,56,0,0,0,0,0,0,0,0,0,0,
25,0013,AF317,584,584,0,238,238,0,0,58,21,159,88,144,0,0,0,0,102,126,136,90,122,103,54,161,127,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
25,0014,AF318,530,530,0,229,229,0,1,77,21,129,83,137,0,0,0,0,83,131,134,81,95,121,57,138,140,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
25,0015,AF319,577,577,0,309,309,0,0,101,15,191,84,217,0,0,0,0,127,169,191,104,130,157,90,186,154,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
25,0016,AF320,389,389,0,203,203,0,0,49,17,136,61,138,0,0,0,0,101,93,94,101,125,69,41,126,126,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
25,0017,AF322,697,697,0,231,231,0,0,79,9,143,67,158,0,0,0,0,82,135,137,77,94,115,69,138,127,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
25,0018,AF323,424,424,0,193,193,0,0,51,20,121,62,130,0,0,0,0,77,111,115,67,99,86,46,115,101,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
25,0019,AF324,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
25,0020,AF401,1070,1070,0,403,403,0,0,140,51,210,0,0,225,163,0,0,187,191,206,162,194,176,93,248,212,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
25,0021,AL301,1110,783,327,453,414,39,0,77,26,307,158,235,0,0,0,0,217,156,227,137,248,128,95,254,234,131,0,0,0,181,72,158,0,0,0,0,0,0,0,0,0,0,
25,0022,AL302,1334,970,364,550,500,50,0,127,22,348,185,296,0,0,0,0,265,187,269,183,277,169,108,321,283,147,0,0,0,199,107,193,0,0,0,0,0,0,0,0,0,0,
