COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,U.S. Senate,U.S. Senate,U.S. Senate,U.S. Senate,U.S. House 3,U.S. House 3,U.S. House 3,U.S. House 3,U.S. House 3,U.S. House 4,U.S. House 4,U.S. House 4,State Treasurer,State Treasurer,State Treasurer,State Treasurer,State Senate 11 (Multi-County),State Senate 18 (Multi-County),State Senate 18 (Multi-County),State Senate 18 (Multi-County),State Senate 19 (Multi-County),State Senate 19 (Multi-County),State Senate 19 (Multi-County),State House 66 (Multi-County),State House 66 (Multi-County),State Senate 21,State Senate 23,State House 50,State House 51,State House 51,State House 52,State House 53,State House 53,State House 53,State House 54,State House 54,State House 54,State House 55,State House 56,State House 57,State House 58,State House 60,State House 61,State House 61,State House 62,State House 62,State House 63,State House 64,State House 64,State House 65,State School Board 11 (Multi-County),State School Board 14 (Multi-County),State School Board 14 (Multi-County),Utah County Commission Seat A,Utah County Commission Seat A,Utah County Commission Seat A,Utah County Commission Seat B,Utah County Attorney,Utah County Auditor,Utah County Clerk,Utah County Clerk,Utah County Sheriff,School Board Alpine 1,School Board Alpine 2,School Board Alpine 2,School Board Alpine 4,School Board Alpine 4,School Board Alpine 7,School Board Alpine 7,School Board Provo 1,School Board Provo 1,School Board Provo 2,School Board Provo 2,School Board Provo 3,School Board Provo 3,School Board Provo 4,School Board Provo 4,School Board Nebo 2,School Board Nebo 2,School Board Nebo 4,School Board Nebo 4,School Board Nebo 5,School Board Nebo 5,PAIGE PETERSEN Supreme Court of Utah,PAIGE PETERSEN Supreme Court of Utah,D. SCOTT DAVIS Fourth Juvenile Court District,D. SCOTT DAVIS Fourth Juvenile Court District,F. RICHARDS SMITH III Fourth Juvenile Court District,F. RICHARDS SMITH III Fourth Juvenile Court District,SUCHADA P. BAZZELLE Fourth Juvenile Court District,SUCHADA P. BAZZELLE Fourth Juvenile Court District,BROOK JASON SESSIONS Lindon Municipal Justice Court,BROOK JASON SESSIONS Lindon Municipal Justice Court,RANDY B. BIRCH Pleasant Grove Municipal Justice Court,RANDY B. BIRCH Pleasant Grove Municipal Justice Court,VERNON F. ROMNEY Provo Municipal Justice Court,VERNON F. ROMNEY Provo Municipal Justice Court,Constitutional Amendment A,Constitutional Amendment A,Alpine Schoool District Board of Education Bond Election,Alpine Schoool District Board of Education Bond Election,Orem School District Proposition #2,Orem School District Proposition #2,Saratoga Springs Proposition #4,Saratoga Springs Proposition #4,Saratoga Springs Bond Election,Saratoga Springs Bond Election,
,,,,,,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,
,,,VOTERS,BALLOTS CAST,BALLOTS CAST,UNA EVAN MCMULLIN,LIB JAMES ARTHUR HANSEN,REP MIKE LEE,IAP TOMMY WILLIAMS,IAP AARON HEINEMAN,DEM GLENN J. WRIGHT,CON DANIEL CLYDE CUMMINGS,REP JOHN CURTIS,LIB MICHAEL R. STODDARD,DEM DARLENE MCDONALD,REP BURGESS OWENS,UUP JANUARY WALKER,REP MARLO M. OAKS,UUP THOMAS ALAN HORNE,IAP WARREN T ROGERS,LIB JOSEPH GEDDES BUCHMAN,REP DANIEL W. THATCHER,UUP JED C. NORDFELT,REP DANIEL MCCAY,DEM CATHERINE VOUTAZ,UUP TYLER L. PETERSON,REP KIRK CULLIMORE,DEM PARKER BOND,CON RUSS HATCH,REP STEVEN J. LUND,REP MIKE KENNEDY,REP KEITH GROVER,REP STEPHANIE GRICIUS,REP JEFFERSON R. MOSS,LIB JEREMY BAKER,REP CORY MALOY,LIB W. ANDREW MCCULLOUGH,REP KAY J. CHRISTOFFERSON,DEM ANN SCHRECK,DEM NIKKI RAY PINO,UUP ANDREW W. MATISHEN,REP BRADY BRAMMER,REP JON HAWKINS,REP VAL L. PETERSON,REP NELSON ABBOTT,REP KEVEN J. STRATTON,REP ADAM E. ROBERTSON,DEM MICHAEL ANDERSON,REP MARSHA JUDKINS,REP NORM THURSTON,DEM DANIEL CRAIG FRIEND,REP STEPHEN L WHYTE,UUP ALAN WESSMAN,REP JEFFERSON S. BURTON,REP DOUGLAS R WELTON,REP CINDY DAVIS,REP EMILY GREEN,LIB RICHARD JENSEN,REP AMELIA POWERS GARDNER,UNA TOM TOMENY,DEM JEANNE BOWEN,REP BRANDON GORDON,REP JEFF GRAY,REP ROD MANN,REP AARON DAVIDSON,IAP JAKE OAKS,REP MIKE SMITH,JULIE KING,JOYLIN LINCOLN,WENDY RENCHER,SARAH L. BEESON,AMBER L. BONNER,COLE J. KELLEY,ADA WILSON,EMILY K. CLARK,LISA BOYCE,MELANIE HALL,DENICE RONEY,MEGAN VAN WAGENEN,MCKAY R. JENSEN,JENNIFER PARTRIDGE,ANGIE CARTER,KRISTEN BETTS,JOANN BROWN,BENJAMIN WOODWARD,RICK B. AINGE,ROBBY EDGEL,SHANNON M. ACOR,YES,NO,YES,NO,YES,NO,YES,NO,YES,NO,YES,NO,YES,NO,FOR,AGAINST,FOR THE ISSUANCE OF BONDS,AGAINST THE ISSUANCE OF BONDS,YES,NO,FOR THE LEVY OF THE TAX,AGAINST THE LEVY OF THE TAX,FOR THE ISSUANCE OF BONDS (YES),AGAINST THE ISSUANCE OF BONDS (NO),
25,0001,AF301,986,649,0,208,13,415,3,11,82,15,510,16,0,0,0,527,30,19,31,0,0,0,0,0,0,0,0,0,538,0,0,0,0,0,33,479,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,551,0,0,471,38,103,551,548,540,490,50,551,0,0,0,402,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,461,87,357,184,450,89,454,84,446,86,0,0,0,0,187,401,294,324,0,0,0,0,0,0,
25,0002,AF302,1018,674,0,228,8,429,4,5,86,5,544,19,0,0,0,560,25,17,38,0,0,0,0,0,0,0,0,0,561,0,0,0,0,0,26,522,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,580,0,0,534,18,97,575,570,569,534,50,578,0,0,0,429,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,513,83,413,174,502,82,498,94,501,81,0,0,0,0,265,363,322,325,0,0,0,0,0,0,
25,0003,AF304,1102,749,0,249,24,464,6,14,115,10,561,35,0,0,0,594,42,22,43,0,0,0,0,0,0,0,0,0,600,0,0,0,0,0,33,530,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,642,0,0,556,29,127,617,610,605,549,65,616,0,0,0,510,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,564,78,440,201,551,87,541,102,550,87,0,0,0,0,240,450,373,343,0,0,0,0,0,0,
25,0004,AF305,1167,807,0,306,14,475,4,13,108,24,629,18,0,0,0,632,39,31,43,0,0,0,0,0,0,0,0,0,646,0,0,0,0,0,29,606,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,687,0,0,598,35,122,666,669,665,587,98,667,0,0,0,643,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,601,98,492,199,597,93,568,124,589,91,0,0,0,0,286,461,416,364,0,0,0,0,0,0,
25,0005,AF306,986,688,0,249,9,420,7,5,95,17,536,16,0,0,0,521,41,19,37,0,0,0,0,0,0,0,0,0,536,0,0,0,0,0,0,0,0,0,0,0,526,0,0,0,0,0,0,0,0,0,0,0,0,537,0,0,491,41,118,521,535,529,505,71,555,0,0,0,493,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,511,89,394,189,482,99,475,114,498,90,0,0,0,0,233,400,303,350,0,0,0,0,0,0,
25,0006,AF307,185,115,0,41,4,69,1,1,17,2,86,7,0,0,0,92,6,4,8,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,22,4,84,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,89,3,20,95,96,96,82,14,96,0,0,0,64,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,12,73,26,88,11,84,15,87,11,0,0,0,0,43,68,69,45,0,0,0,0,0,0,
25,0007,AF308,966,674,0,220,6,442,2,8,62,5,580,8,0,0,0,561,25,11,23,0,0,0,0,0,0,0,0,0,557,0,0,0,0,0,0,0,0,0,0,0,559,0,0,0,0,0,0,0,0,0,0,0,0,567,0,0,540,30,70,549,559,558,524,40,570,0,0,0,350,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,515,60,377,190,501,65,484,81,502,63,0,0,0,0,228,388,300,347,0,0,0,0,0,0,
25,0008,AF310,1020,720,0,223,11,478,3,23,83,18,553,20,0,0,0,571,33,22,35,0,0,0,0,0,0,0,0,0,588,0,0,0,0,0,0,0,0,0,0,0,579,0,0,0,0,0,0,0,0,0,0,0,0,576,0,0,521,41,111,590,602,590,539,71,585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,524,95,438,163,503,93,489,108,492,98,0,0,0,0,238,412,277,406,0,0,0,0,0,0,
25,0009,AF311,575,395,0,123,5,262,2,3,53,8,309,16,0,0,0,321,19,10,21,0,0,0,0,0,0,0,0,0,335,0,0,0,0,0,0,0,0,0,0,0,338,0,0,0,0,0,0,0,0,0,0,0,0,337,0,0,297,16,64,335,345,342,302,37,348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329,33,269,90,320,36,307,51,314,37,0,0,0,0,168,203,192,190,0,0,0,0,0,0,
25,0010,AF312,1164,716,0,226,12,465,7,7,125,10,538,20,0,0,0,536,38,35,45,0,0,0,0,0,0,0,0,0,583,0,0,0,0,0,0,0,0,0,0,0,576,0,0,0,0,0,0,0,0,0,0,0,0,591,0,0,511,41,130,570,583,585,514,101,585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,552,93,461,183,548,93,530,109,542,83,0,0,0,0,234,432,297,394,0,0,0,0,0,0,
25,0011,AF314,1118,673,0,237,15,406,10,12,110,17,497,25,0,0,0,517,36,35,41,0,0,0,0,0,0,0,0,0,556,0,0,0,0,0,38,475,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,576,0,0,475,33,134,568,577,568,478,97,557,0,0,0,397,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,483,113,394,198,477,115,464,132,477,115,0,0,0,0,236,392,314,327,0,0,0,0,0,0,
25,0012,AF316,1070,690,0,270,19,384,5,9,130,14,488,30,0,0,0,523,31,24,54,0,0,0,0,0,0,0,0,0,535,0,0,0,0,0,39,461,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,568,0,0,467,26,150,542,548,535,493,68,552,0,0,0,445,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,487,85,374,191,478,85,464,101,470,87,0,0,0,0,239,376,349,305,0,0,0,0,0,0,
25,0013,AF317,1061,596,0,222,21,339,10,13,137,24,384,23,0,0,0,422,32,34,61,0,0,0,0,0,0,0,0,0,472,0,0,0,0,455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,465,0,0,396,30,147,450,475,466,416,90,470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450,87,358,172,446,81,431,93,439,73,0,0,0,0,177,374,230,338,0,0,0,0,0,0,
25,0014,AF318,930,541,0,200,12,315,10,14,96,12,399,12,0,0,0,401,31,29,39,0,0,0,0,0,0,0,0,0,437,0,0,0,0,0,0,0,0,0,0,0,431,0,0,0,0,0,0,0,0,0,0,0,0,444,0,0,376,19,112,430,442,439,382,76,445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,397,75,326,145,379,87,371,101,377,84,0,0,0,0,168,329,213,303,0,0,0,0,0,0,
25,0015,AF319,913,634,0,219,18,388,4,7,97,15,478,21,0,0,0,498,37,24,29,0,0,0,0,0,0,0,0,0,502,0,0,0,0,0,0,0,0,0,0,0,499,0,0,0,0,0,0,0,0,0,0,0,0,503,0,0,453,23,127,500,520,512,465,71,510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,485,89,399,166,467,93,454,105,461,95,0,0,0,0,240,345,281,323,0,0,0,0,0,0,
25,0016,AF320,614,388,0,136,4,243,1,11,67,8,283,9,0,0,0,309,15,14,17,0,0,0,0,0,0,0,0,0,323,0,0,0,0,0,0,0,0,0,0,0,318,0,0,0,0,0,0,0,0,0,0,0,0,321,0,0,289,10,77,323,335,331,286,47,319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303,47,252,94,282,62,263,80,277,62,0,0,0,0,133,222,153,216,0,0,0,0,0,0,
