COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,U.S. Senate,U.S. Senate,U.S. Senate,U.S. Senate,U.S. House 3,U.S. House 3,U.S. House 3,U.S. House 3,U.S. House 3,U.S. House 4,U.S. House 4,U.S. House 4,State Treasurer,State Treasurer,State Treasurer,State Treasurer,State Senate 11 (Multi-County),State Senate 18 (Multi-County),State Senate 18 (Multi-County),State Senate 18 (Multi-County),State Senate 19 (Multi-County),State Senate 19 (Multi-County),State Senate 19 (Multi-County),State House 66 (Multi-County),State House 66 (Multi-County),State Senate 21,State Senate 23,State House 50,State House 51,State House 51,State House 52,State House 53,State House 53,State House 53,State House 54,State House 54,State House 54,State House 55,State House 56,State House 57,State House 58,State House 60,State House 61,State House 61,State House 62,State House 62,State House 63,State House 64,State House 64,State House 65,State School Board 11 (Multi-County),State School Board 14 (Multi-County),State School Board 14 (Multi-County),Utah County Commission Seat A,Utah County Commission Seat A,Utah County Commission Seat A,Utah County Commission Seat B,Utah County Attorney,Utah County Auditor,Utah County Clerk,Utah County Clerk,Utah County Sheriff,School Board Alpine 1,School Board Alpine 2,School Board Alpine 2,School Board Alpine 4,School Board Alpine 4,School Board Alpine 7,School Board Alpine 7,School Board Provo 1,School Board Provo 1,School Board Provo 2,School Board Provo 2,School Board Provo 3,School Board Provo 3,School Board Provo 4,School Board Provo 4,School Board Nebo 2,School Board Nebo 2,School Board Nebo 4,School Board Nebo 4,School Board Nebo 5,School Board Nebo 5,PAIGE PETERSEN Supreme Court of Utah,PAIGE PETERSEN Supreme Court of Utah,D. SCOTT DAVIS Fourth Juvenile Court District,D. SCOTT DAVIS Fourth Juvenile Court District,F. RICHARDS SMITH III Fourth Juvenile Court District,F. RICHARDS SMITH III Fourth Juvenile Court District,SUCHADA P. BAZZELLE Fourth Juvenile Court District,SUCHADA P. BAZZELLE Fourth Juvenile Court District,BROOK JASON SESSIONS Lindon Municipal Justice Court,BROOK JASON SESSIONS Lindon Municipal Justice Court,RANDY B. BIRCH Pleasant Grove Municipal Justice Court,RANDY B. BIRCH Pleasant Grove Municipal Justice Court,VERNON F. ROMNEY Provo Municipal Justice Court,VERNON F. ROMNEY Provo Municipal Justice Court,Constitutional Amendment A,Constitutional Amendment A,Alpine Schoool District Board of Education Bond Election,Alpine Schoool District Board of Education Bond Election,Orem School District Proposition #2,Orem School District Proposition #2,Saratoga Springs Proposition #4,Saratoga Springs Proposition #4,Saratoga Springs Bond Election,Saratoga Springs Bond Election,
25,0017,AF322,1326,605,0,268,32,299,3,5,190,6,373,21,0,0,0,402,48,25,68,0,0,0,0,0,0,0,0,0,458,0,0,0,0,0,0,0,0,0,0,0,0,449,0,0,0,0,0,0,0,0,0,0,0,451,0,0,360,25,192,448,454,452,383,91,454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,428,93,338,173,416,88,417,90,423,80,0,0,0,0,221,323,292,254,0,0,0,0,0,0,
25,0018,AF323,796,484,0,198,16,262,6,10,113,18,319,11,0,0,0,336,38,33,38,0,0,0,0,0,0,0,0,0,371,0,0,0,0,0,0,0,0,0,0,0,0,355,0,0,0,0,0,0,0,0,0,0,0,368,0,0,308,33,120,357,374,366,322,87,373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,82,257,171,338,84,340,86,333,80,0,0,0,0,179,273,228,241,0,0,0,0,0,0,
25,0019,AF324,4,3,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,2,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0,2,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,
25,0020,AF401,2156,1191,0,505,38,631,10,0,0,0,0,0,328,738,101,839,118,52,95,0,0,0,0,0,0,0,0,0,964,0,0,0,0,944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,948,0,0,788,64,280,929,944,943,836,167,939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,896,139,702,322,866,155,839,178,833,166,0,0,0,0,403,671,549,565,0,0,0,0,0,0,
25,0021,AL301,1123,818,0,235,11,563,2,10,84,15,671,22,0,0,0,665,26,15,46,0,0,0,0,36,633,84,0,0,0,0,0,0,0,0,0,0,0,92,23,663,0,0,0,0,0,0,0,0,0,0,0,0,0,566,0,0,641,33,88,642,647,662,651,41,672,0,0,0,253,404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,554,76,433,192,545,76,525,101,537,75,0,0,0,0,270,438,289,460,0,0,0,0,0,0,
25,0022,AL302,1321,936,0,263,11,649,3,10,105,2,762,28,0,0,0,765,30,26,34,0,0,0,0,0,0,0,0,0,769,0,0,0,0,0,0,0,0,118,38,719,0,0,0,0,0,0,0,0,0,0,0,0,0,769,0,0,711,43,117,750,769,756,716,91,774,0,0,0,306,474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,647,109,526,223,644,96,622,124,653,90,0,0,0,0,320,496,356,502,0,0,0,0,0,0,
25,0023,AL303,639,463,0,133,5,323,2,2,57,7,373,14,0,0,0,387,11,11,21,0,0,0,0,28,346,52,0,0,0,0,0,0,0,0,0,0,0,42,33,361,0,0,0,0,0,0,0,0,0,0,0,0,0,310,0,0,362,22,51,373,371,373,373,23,384,0,0,0,138,237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,343,33,274,95,339,31,335,38,331,32,0,0,0,0,148,260,182,243,0,0,0,0,0,0,
25,0024,AL304,872,569,0,135,8,420,3,4,73,12,450,18,0,0,0,452,41,12,22,0,0,0,0,32,426,70,0,0,0,0,0,0,0,0,0,0,0,74,33,436,0,0,0,0,0,0,0,0,0,0,0,0,0,390,0,0,450,14,79,461,462,460,458,34,479,0,0,0,205,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,372,74,302,141,365,74,360,86,360,82,0,0,0,0,181,311,217,301,0,0,0,0,0,0,
25,0025,AL305,984,730,0,205,4,513,3,6,84,14,596,18,0,0,0,597,19,33,28,0,0,0,0,0,0,0,0,0,628,0,0,0,0,0,0,0,0,92,27,561,0,0,0,0,0,0,0,0,0,0,0,0,0,630,0,0,578,21,99,618,623,625,583,65,615,0,0,0,257,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,515,107,418,197,491,124,481,139,485,127,0,0,0,0,237,420,263,411,0,0,0,0,0,0,
25,0026,AL306,973,690,0,196,10,476,2,8,77,16,547,24,0,0,0,565,24,10,29,0,0,0,0,0,0,0,0,0,569,0,0,0,0,0,0,0,0,78,27,524,0,0,0,0,0,0,0,0,0,0,0,0,0,551,0,0,541,18,83,545,555,553,532,52,545,0,0,0,201,354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,469,80,373,171,464,75,440,99,456,79,0,0,0,0,211,395,226,412,0,0,0,0,0,0,
25,0027,AL307,1135,767,0,239,12,511,3,13,99,12,605,24,0,0,0,639,28,22,26,0,0,0,0,0,0,0,0,0,651,0,0,0,0,0,0,0,0,96,47,587,0,0,0,0,0,0,0,0,0,0,0,0,0,670,0,0,588,36,112,649,642,645,603,70,647,0,0,0,271,380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,566,63,429,187,556,62,538,77,534,67,0,0,0,0,250,422,273,421,0,0,0,0,0,0,
25,0028,CF401,279,161,0,30,1,127,1,0,0,0,0,0,23,129,8,137,3,7,8,137,0,0,0,0,0,0,0,0,0,0,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,2,26,135,137,135,129,20,145,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,24,105,36,116,24,112,27,117,22,0,0,0,0,44,99,50,99,0,0,0,0,0,0,
25,0029,CH301,938,605,0,198,8,388,5,7,92,9,458,24,0,0,0,461,23,23,36,0,0,0,0,0,0,0,0,0,487,0,0,0,0,0,0,0,0,82,23,451,0,0,0,0,0,0,0,0,0,0,0,0,0,505,0,0,452,13,90,473,475,478,435,58,489,0,0,0,187,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,410,73,321,158,396,76,398,77,392,75,0,0,0,0,211,318,289,269,0,0,0,0,0,0,
25,0030,CH302,669,379,0,154,6,214,4,1,86,8,262,12,0,0,0,268,20,16,31,0,0,0,0,0,0,0,0,0,275,0,0,0,0,0,0,0,0,83,30,233,0,0,0,0,0,0,0,0,0,0,0,0,0,289,0,0,246,15,88,277,280,279,263,43,287,0,0,0,100,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,52,192,103,245,54,236,64,243,50,0,0,0,0,107,226,142,198,0,0,0,0,0,0,
25,0031,CH304,888,610,0,211,5,390,4,4,83,17,476,16,0,0,0,480,28,18,32,0,0,0,0,0,0,0,0,0,479,0,0,0,0,0,0,0,0,83,30,448,0,0,0,0,0,0,0,0,0,0,0,0,0,514,0,0,455,31,82,490,489,492,447,68,502,0,0,0,146,393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,417,76,328,169,403,88,398,97,387,95,0,0,0,0,165,384,260,309,0,0,0,0,0,0,
25,0032,CH305,1189,830,0,269,6,542,1,10,94,10,665,24,0,0,0,669,38,21,28,0,0,0,0,0,0,0,0,0,693,0,0,0,0,0,0,0,0,94,44,629,0,0,0,0,0,0,0,0,0,0,0,0,0,746,0,0,640,20,109,697,700,694,620,67,689,0,0,0,178,591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,609,75,473,203,588,81,568,110,581,91,0,0,0,0,270,452,381,391,0,0,0,0,0,0,
25,0033,CH306,491,326,0,124,10,187,4,5,59,6,241,12,0,0,0,248,13,14,30,0,0,0,0,0,0,0,0,0,272,0,0,0,0,0,0,0,0,69,16,225,0,0,0,0,0,0,0,0,0,0,0,0,0,284,0,0,232,12,70,279,280,280,242,41,274,0,0,0,102,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,50,176,101,223,52,217,58,220,49,0,0,0,0,103,192,123,185,0,0,0,0,0,0,
25,0034,CH307,714,470,0,142,5,317,2,5,53,6,377,17,0,0,0,387,9,12,23,0,0,0,0,0,0,0,0,0,398,0,0,0,0,0,0,0,0,59,16,367,0,0,0,0,0,0,0,0,0,0,0,0,0,399,0,0,375,15,57,391,388,398,368,33,398,0,0,0,137,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,346,41,252,124,322,52,308,73,322,48,0,0,0,0,155,238,170,249,0,0,0,0,0,0,
25,0035,CH308,1214,856,0,241,9,599,1,9,80,20,700,26,0,0,0,694,40,19,36,0,0,0,0,0,0,0,0,0,716,0,0,0,0,0,0,0,0,79,52,669,0,0,0,0,0,0,0,0,0,0,0,0,0,764,0,0,672,22,110,723,713,724,656,53,723,0,0,0,390,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,631,83,503,197,616,77,605,93,605,81,0,0,0,0,299,472,384,420,0,0,0,0,0,0,
25,0036,DR301,674,477,0,214,6,256,0,4,132,3,320,11,0,0,0,328,31,28,42,0,0,0,0,19,293,139,0,0,0,0,0,0,0,0,0,0,0,133,24,297,0,0,0,0,0,0,0,0,0,0,0,0,0,297,0,0,296,15,144,336,344,340,316,67,350,0,0,0,151,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,313,60,243,124,306,64,296,72,301,61,0,0,0,0,139,284,183,258,0,0,0,0,0,0,
25,0037,DR302,1178,759,0,373,17,358,6,8,268,11,422,22,0,0,0,459,60,53,80,0,0,0,0,71,385,253,0,0,0,0,0,0,0,0,0,0,0,269,51,397,0,0,0,0,0,0,0,0,0,0,0,0,0,431,0,0,411,40,267,496,502,504,446,130,530,0,0,0,243,293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,481,114,331,248,464,116,454,123,458,115,0,0,0,0,228,440,301,396,0,0,0,0,0,0,
25,0038,EM401,1254,811,0,155,7,642,4,0,0,0,0,0,100,658,44,685,35,12,29,682,0,0,0,0,0,0,0,0,0,0,668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,672,27,78,668,684,667,656,64,711,619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,554,118,429,235,525,134,521,139,527,127,0,0,0,0,245,477,346,410,0,0,0,0,0,0,
25,0039,EM402,1124,650,0,129,10,498,9,0,0,0,0,0,93,523,22,492,25,31,40,524,0,0,0,0,0,0,0,0,0,0,517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,515,29,72,521,535,525,486,78,559,493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,424,113,327,197,402,118,397,126,403,113,0,0,0,0,152,428,230,379,0,0,0,0,0,0,
25,0040,EM404,1308,749,0,222,22,499,4,0,0,0,0,0,163,532,42,584,42,36,50,0,0,0,0,0,0,0,0,0,0,0,592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,543,41,137,625,619,603,569,94,633,607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,557,107,453,207,554,107,533,124,547,108,0,0,0,0,298,395,400,316,0,0,0,0,0,0,
25,0041,EM405,1083,592,0,220,25,336,7,0,0,0,0,0,146,373,62,425,53,21,52,0,0,0,0,0,0,0,0,0,0,0,470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,410,31,121,496,489,482,411,96,492,472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,436,78,345,164,415,88,414,89,421,79,0,0,0,0,209,337,327,238,0,0,0,0,0,0,
25,0042,EM406,972,586,0,138,14,424,5,0,0,0,0,0,82,461,33,462,19,26,34,487,0,0,0,0,0,0,0,0,0,0,484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,469,22,63,480,489,485,483,41,497,456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,86,322,177,405,86,394,102,395,95,0,0,0,0,169,358,270,289,0,0,0,0,0,0,
