"12" ,999999 ,"Election Total" ,"Race Statistics" ,"" ,"NP" ,"Number of Precincts" ,"" ,"NP" ,18 ,
"12" ,999999 ,"Election Total" ,"Race Statistics" ,"" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,17 ,
"12" ,999999 ,"Election Total" ,"STRAIGHT PARTY" ,"" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,18 ,
"12" ,999999 ,"Election Total" ,"STRAIGHT PARTY" ,"" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,17 ,
"12" ,999999 ,"Election Total" ,"STRAIGHT PARTY" ,"" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"12" ,999999 ,"Election Total" ,"STRAIGHT PARTY" ,"" ,"NP" ,"CONSTITUTION" ,"" ,"CON" ,13 ,
"12" ,999999 ,"Election Total" ,"STRAIGHT PARTY" ,"" ,"NP" ,"LIBERTARIAN" ,"" ,"LIB" ,8 ,
"12" ,999999 ,"Election Total" ,"STRAIGHT PARTY" ,"" ,"NP" ,"DEMOCRATIC" ,"" ,"DEM" ,167 ,
"12" ,999999 ,"Election Total" ,"STRAIGHT PARTY" ,"" ,"NP" ,"REPUBLICAN" ,"" ,"REP" ,809 ,
"12" ,999999 ,"Election Total" ,"STRAIGHT PARTY" ,"" ,"NP" ,"JUSTICE" ,"" ,"JUS" ,3 ,
"12" ,999999 ,"Election Total" ,"STRAIGHT PARTY" ,"" ,"NP" ,"GREEN" ,"" ,"GRN" ,2 ,
"12" ,999999 ,"Election Total" ,"PRESIDENT/VICE PRES" ,"300000" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,18 ,
"12" ,999999 ,"Election Total" ,"PRESIDENT/VICE PRES" ,"300000" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,17 ,
"12" ,999999 ,"Election Total" ,"PRESIDENT/VICE PRES" ,"300000" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"12" ,999999 ,"Election Total" ,"PRESIDENT/VICE PRES" ,"300000" ,"NP" ,"Jill Stein" ,"300001" ,"GRN" ,9 ,
"12" ,999999 ,"Election Total" ,"PRESIDENT/VICE PRES" ,"300000" ,"NP" ,"Gloria La Riva" ,"300002" ,"NP" ,0 ,
"12" ,999999 ,"Election Total" ,"PRESIDENT/VICE PRES" ,"300000" ,"NP" ,"Mitt Romney" ,"300007" ,"REP" ,3448 ,
"12" ,999999 ,"Election Total" ,"PRESIDENT/VICE PRES" ,"300000" ,"NP" ,"Barack Obama" ,"300005" ,"DEM" ,451 ,
"12" ,999999 ,"Election Total" ,"PRESIDENT/VICE PRES" ,"300000" ,"NP" ,"Gary Johnson" ,"300003" ,"LIB" ,27 ,
"12" ,999999 ,"Election Total" ,"PRESIDENT/VICE PRES" ,"300000" ,"NP" ,"Virgil Goode" ,"300004" ,"CON" ,21 ,
"12" ,999999 ,"Election Total" ,"PRESIDENT/VICE PRES" ,"300000" ,"NP" ,"Ross C. Anderson" ,"300006" ,"JUS" ,16 ,
"12" ,999999 ,"Election Total" ,"PRESIDENT/VICE PRES" ,"300000" ,"NP" ,"Write-in 90" ,"" ,"NP" ,38 ,
"12" ,999999 ,"Election Total" ,"US SENATE" ,"300050" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,18 ,
"12" ,999999 ,"Election Total" ,"US SENATE" ,"300050" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,17 ,
"12" ,999999 ,"Election Total" ,"US SENATE" ,"300050" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"12" ,999999 ,"Election Total" ,"US SENATE" ,"300050" ,"NP" ,"Shaun McCausland" ,"300055" ,"CON" ,176 ,
