COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - NONPARTISAN,BALLOTS CAST TOTAL,BALLOTS CAST - REPUBLICAN,BALLOTS CAST - NONPARTISAN,Republican for Governor and Lieutenant Governor,Republican for Governor and Lieutenant Governor,Republican for Governor and Lieutenant Governor,Republican for Governor and Lieutenant Governor,Republican for Attorney General,Republican for Attorney General,Republican for State House District 71,Republican for State House District 71,Republican for State School Board District 15,Republican for State School Board District 15
27,43,SC71,1274,940,334,592,592,0,39,213,135,203,296,270,0,0,368,187
27,44,SC72,717,425,292,291,291,0,17,96,71,106,145,131,0,0,150,129
27,45,SC73,991,652,339,441,441,0,39,132,108,160,212,210,0,0,232,186
27,46,SC74,1174,772,402,540,540,0,51,158,154,177,263,254,0,0,274,234
27,47,SG01,729,418,311,260,260,0,17,48,98,96,140,111,0,0,139,108
27,48,SG02,736,428,308,281,281,0,30,61,76,114,164,110,0,0,147,114
27,49,SG03,624,367,257,229,229,0,17,69,66,77,106,116,0,0,147,73
27,50,SG04,515,283,232,172,172,0,23,57,37,55,82,87,0,0,116,48
27,51,SG05,587,361,226,223,223,0,24,66,55,77,120,95,0,0,139,74
27,52,SG06,692,363,329,205,205,0,18,69,46,71,102,95,0,0,122,71
27,53,SG07,760,451,309,287,287,0,18,87,89,92,159,117,0,0,191,81
27,54,SG08,727,420,307,268,268,0,34,73,80,81,160,102,0,0,164,90
27,55,SG09,1050,591,459,393,393,0,32,131,122,108,214,155,0,0,213,147
27,56,SG10,445,287,158,213,213,0,15,78,48,71,127,81,0,0,143,55
27,57,SG11,891,532,359,368,368,0,27,102,95,144,181,165,0,0,220,112
27,58,SG12,862,435,427,256,256,0,17,53,77,107,134,109,0,0,144,93
27,59,SG13,815,345,470,208,208,0,17,47,67,76,105,91,0,0,113,79
27,60,SG14,593,327,266,255,255,0,17,76,82,80,133,106,0,0,132,101
27,61,SG15,931,529,402,354,354,0,23,95,113,123,208,134,0,0,186,155
27,62,SG16,799,478,321,332,332,0,28,89,95,120,158,163,0,0,186,121
27,63,SG17,1169,798,371,618,618,0,33,153,208,223,338,249,0,0,323,236
27,64,SG18,913,545,368,363,363,0,31,97,106,127,193,154,0,0,202,134
27,65,SG19,1081,662,419,398,398,0,10,152,108,127,210,171,0,0,222,149
27,66,SG20,1093,694,399,444,444,0,34,110,148,151,227,201,0,0,233,181
27,67,SG21,1134,704,430,478,478,0,46,118,164,149,249,203,0,0,314,137
27,68,SG22,728,460,268,325,325,0,25,75,105,119,159,138,0,0,138,140
27,69,SG23,996,616,380,422,422,0,32,99,130,161,208,186,0,0,236,151
27,70,SG24,571,379,192,276,276,0,15,74,75,112,134,134,0,0,179,81
27,71,SG25,680,461,219,304,304,0,20,88,83,113,169,118,0,0,203,83
27,72,SG26,799,555,244,354,354,0,30,108,81,134,184,145,0,0,211,111
27,73,SG27,1070,652,418,367,367,0,31,116,95,122,221,136,0,0,209,140
27,74,SG28,1125,723,402,476,476,0,52,156,121,146,259,198,0,0,256,190
27,75,SG29,955,629,326,436,436,0,32,115,145,144,223,187,0,0,238,152
27,76,SG30,1162,774,388,523,523,0,30,145,177,169,278,213,0,0,296,177
27,77,SG31,876,677,199,485,485,0,36,158,143,146,252,209,0,0,314,138
27,78,SG32,972,647,325,454,454,0,33,181,116,122,229,202,0,0,269,144
27,79,SG33,607,427,180,344,344,0,26,98,116,103,171,160,0,0,190,129
27,80,SG34,1255,762,493,516,516,0,44,152,156,162,314,180,0,0,256,211
27,81,SG35,1057,553,504,312,312,0,30,81,75,126,163,127,0,0,173,113
27,82,SG36,947,556,391,413,413,0,45,112,135,121,235,155,0,0,223,154
27,83,SG37,920,520,400,314,314,0,40,85,96,93,166,133,0,0,161,138
27,84,SG38,1027,524,503,288,288,0,28,90,86,83,148,118,0,0,171,97
27,85,SG39,900,526,374,444,444,0,28,113,162,140,247,160,0,0,236,148
27,86,SG40,884,634,250,398,398,0,19,118,100,160,226,150,0,0,286,92
27,87,SG41,702,436,266,370,370,0,33,78,150,109,219,128,0,0,195,131
27,88,SG42,987,731,256,511,511,0,30,143,166,172,284,199,0,0,297,157
27,89,SG43,974,710,264,463,463,0,32,114,138,178,240,195,0,0,338,95
27,90,SG44,1633,1193,440,716,716,0,63,208,175,268,422,258,357,334,432,241
27,91,SG45,1142,821,321,469,469,0,30,165,120,152,242,206,0,0,330,114
27,92,SG46,904,565,339,496,496,0,38,139,171,144,270,177,0,0,262,149
27,93,SG47,963,610,353,479,479,0,26,107,182,164,259,182,0,0,214,217
27,94,SG48,682,468,214,308,308,0,31,67,97,112,155,137,0,0,172,107
27,95,SG49,1169,834,335,456,456,0,26,120,92,217,266,171,0,0,324,110
27,96,SG50,1025,672,353,351,351,0,25,72,91,163,212,121,0,0,196,121
27,97,SG51,939,606,333,490,490,0,30,133,144,183,262,192,0,0,255,179
27,98,SP95,377,141,236,102,102,0,11,29,41,21,49,47,39,61,64,32
27,99,TQ96,1037,655,382,489,489,0,54,79,118,237,239,229,260,224,247,200
27,100,VI89,474,219,255,169,169,0,19,27,57,66,93,69,92,67,100,48
27,101,WA60,874,642,232,504,504,0,30,129,157,188,279,195,0,0,257,187
27,102,WA61,953,546,407,341,341,0,22,81,120,116,176,149,0,0,167,148
27,103,WA62,895,484,411,309,309,0,34,81,77,116,162,135,0,0,200,94
27,104,WA63,889,518,371,287,287,0,28,69,80,110,151,129,0,0,158,110
27,105,WA64,1057,630,427,448,448,0,34,108,132,174,204,221,0,0,244,168
27,106,WA65,828,581,247,373,373,0,27,116,79,151,193,151,0,0,231,107
27,107,WA66,1031,627,404,394,394,0,45,95,111,143,226,152,0,0,229,138
27,108,WA67,1198,840,358,525,525,0,33,124,116,247,268,224,0,0,309,165
27,109,WA68,1339,977,362,605,605,0,60,137,103,303,323,238,0,0,335,197
27,110,WA69,1087,756,331,507,507,0,34,124,137,211,254,225,214,267,305,155
27,111,WA70,846,582,264,373,373,0,26,101,101,145,219,142,0,0,223,119
27,112,WA71,1443,957,486,738,738,0,50,200,215,272,391,314,0,0,403,260
27,113,WA72,721,471,250,282,282,0,19,86,60,117,168,98,0,0,157,102
27,114,WA73,922,539,383,383,383,0,33,95,132,123,212,149,0,0,185,145
27,ZZZ,COUNTY TOTALS,90128,56994,33134,38463,38463,0,3075,10102,10677,14533,20454,16035,4135,3960,21468,13818
