COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - NONPARTISAN,BALLOTS CAST TOTAL,BALLOTS CAST - REPUBLICAN,BALLOTS CAST - NONPARTISAN,Republican for Governor and Lieutenant Governor,Republican for Governor and Lieutenant Governor,Republican for Governor and Lieutenant Governor,Republican for Governor and Lieutenant Governor,Republican for Attorney General,Republican for Attorney General,Republican for State House District 71,Republican for State House District 71,Republican for State School Board District 15,Republican for State School Board District 15
,,,,REP,NON,,REP,NON,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP
,,,VOTERS,VOTERS,VOTERS,BALLOTS CAST,BALLOTS CAST,BALLOTS CAST,"THOMAS E. WRIGHT, ROB BISHOP","SPENCER J. COX, DEIDRE M. HENDERSON","JON HUNTSMAN JR., MICHELLE KAUFUSI","GREG HUGHES, VICTOR IVERSON",SEAN D. REYES,DAVID O. LEAVITT,WILLIE BILLINGS,BRAD LAST,KRISTAN NORTON,SCOTT F SMITH
27,1,AV51,477,274,203,174,174,0,11,32,40,89,93,72,85,84,93,64
27,2,COAND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,3,COCDSR,172,101,71,72,72,0,4,4,30,33,37,26,49,19,40,19
27,4,COCNBR,256,192,64,131,131,0,18,25,25,63,67,59,0,0,68,57
27,5,CODAV,633,390,243,271,271,0,29,40,59,143,147,113,0,0,132,111
27,6,CODIV,663,452,211,260,260,0,30,49,42,139,153,97,0,0,136,96
27,7,CODXDR,357,218,139,148,148,0,15,21,27,85,91,51,0,0,68,73
27,8,COGL,71,52,19,37,37,0,2,12,6,17,13,23,0,0,22,15
27,9,COGUBL,7,6,1,6,6,0,0,1,2,3,3,3,0,0,3,2
27,10,COHS74,36,17,19,10,10,0,0,5,1,4,10,0,0,0,5,5
27,11,COHV28,27,22,5,17,17,0,4,3,4,6,7,7,7,10,10,5
27,12,COHV29,7,6,1,6,6,0,1,0,0,5,4,2,2,4,3,3
27,13,COLEED,205,146,59,107,107,0,10,21,24,50,65,33,62,40,43,52
27,14,CONCF,107,84,23,58,58,0,1,19,2,36,26,31,0,0,29,29
27,15,CONH,711,501,210,347,347,0,43,80,83,141,182,143,178,158,179,131
27,16,COPINE,170,137,33,107,107,0,5,42,25,35,62,40,0,0,54,45
27,17,COSN28,34,7,27,5,5,0,0,0,3,2,2,3,2,2,2,1
27,18,COVE,295,212,83,139,139,0,18,22,28,71,78,57,0,0,74,59
27,19,COWH,679,476,203,348,348,0,36,70,65,177,171,157,0,0,130,189
27,20,EN82,986,758,228,513,513,0,59,206,33,215,235,266,0,0,291,199
27,21,HIL97,351,205,146,90,90,0,7,19,14,50,51,38,44,46,50,38
27,22,HU52,888,554,334,374,374,0,30,76,74,194,208,154,225,148,218,136
27,23,HU53,979,649,330,441,441,0,40,106,93,202,223,201,209,225,256,155
27,24,HU54,1012,715,297,529,529,0,38,162,106,220,330,179,291,228,313,176
27,25,HU55,721,470,251,295,295,0,27,56,73,139,165,113,166,121,169,98
27,26,HU56,1239,765,474,572,572,0,54,120,187,210,285,234,250,289,314,196
27,27,HU57,1033,557,476,366,366,0,50,71,86,159,192,165,159,199,204,139
27,28,HU58,1032,730,302,518,518,0,53,118,116,231,252,238,292,221,293,193
27,29,HU59,1048,647,401,418,418,0,32,73,128,185,259,145,177,232,251,145
27,30,HU60,828,542,286,381,381,0,24,90,106,160,218,144,187,179,192,150
27,31,HU61,953,613,340,361,361,0,17,69,112,163,184,161,158,186,190,124
27,32,IV76,803,484,319,370,370,0,19,95,115,141,202,138,0,0,156,178
27,33,IV77,1280,704,576,459,459,0,37,121,140,160,237,204,0,0,204,220
27,34,IV78,1239,640,599,520,520,0,30,97,235,158,228,242,0,0,267,176
27,35,IV79,984,604,380,435,435,0,42,114,139,140,220,200,0,0,207,203
27,36,IV80,1072,612,460,454,454,0,21,87,159,187,253,177,0,0,216,198
27,37,LA85,738,455,283,326,326,0,8,95,84,139,179,131,160,160,172,128
27,38,LA86,649,384,265,257,257,0,20,56,54,125,141,109,151,103,140,100
27,39,LA87,577,339,238,237,237,0,16,63,44,113,122,105,113,121,138,85
27,40,LE90,576,416,160,317,317,0,35,81,77,123,147,152,161,149,160,125
27,41,NH93,146,103,43,82,82,0,6,44,13,19,42,38,22,59,55,14
27,42,RC94,163,62,101,47,47,0,7,16,16,8,20,22,23,24,27,6
