COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,U.S. President and Vice President,U.S. President and Vice President,U.S. President and Vice President,U.S. President and Vice President,U.S. President and Vice President,U.S. President and Vice President,U.S. President and Vice President,U.S. President and Vice President,U.S. President and Vice President,U.S. House District 3,U.S. House District 3,U.S. House District 3,U.S. House District 3,Governor and Lt. Governor,Governor and Lt. Governor,Governor and Lt. Governor,Governor and Lt. Governor,Attorney General,Attorney General,Attorney General,State Auditor,State Auditor,State Auditor,State Treasurer,State Treasurer,State Treasurer,State Senate District 27,State House District 69 DISTRICT 69,State House District 70 DISTRICT 70,State House District 70 DISTRICT 70,County Commission District #1 DISTRICT 1,County Commission District #2 DISTRICT 2,County Commission District #4 DISTRICT 4,County Commission District #4 DISTRICT 4,County Commission District #5 DISTRICT 5,County Commission At-Large,County Commission At-Large,Grand County Assessor,Grand County Clerk/Auditor,Grand County Recorder,Grand County Surveyor,Grand County Treasurer,Grand County School Board District 2 DISTRICT 2,Grand County School Board District 3 DISTRICT 3,Grand County School Board District 5 DISTRICT 5,John A. Pearce Judicial Retention,John A. Pearce Judicial Retention,David N. Mortensen Judicial Retention,David N. Mortensen Judicial Retention,Diana Hagen Judicial Retention,Diana Hagen Judicial Retention,Gregory Keith Orme Judicial Retention,Gregory Keith Orme Judicial Retention,Jill M. Pohlman Judicial Retention,Jill M. Pohlman Judicial Retention,Michele M. Christiansen Forster Judicial Retention,Michele M. Christiansen Forster Judicial Retention,Ryan M. Harris Judicial Retention,Ryan M. Harris Judicial Retention,Craig M. Bunnell Judicial Retention,Craig M. Bunnell Judicial Retention,Mary L Manley Judicial Retention,Mary L Manley Judicial Retention,Constitutional Amendment A,Constitutional Amendment A,Constitutional Amendment B,Constitutional Amendment B,Constitutional Amendment C,Constitutional Amendment C,Constitutional Amendment D,Constitutional Amendment D,Constitutional Amendment E,Constitutional Amendment E,Constitutional Amendment F,Constitutional Amendment F,Constitutional Amendment G,Constitutional Amendment G,Proposition #8,Proposition #8,Proposition #10,Proposition #10,Proposition #16,Proposition #16,Proposition #17,Proposition #17,
10,0009,Moab 04:570,36,31,0,0,0,19,0,0,0,1,0,11,10,1,0,17,19,0,10,1,2,17,11,16,7,2,1,16,9,17,0,18,10,0,19,0,0,0,14,14,25,22,24,24,25,21,0,0,19,6,18,8,18,8,17,9,20,6,17,9,16,10,20,6,17,11,21,7,25,3,24,4,16,10,19,11,14,9,17,12,0,0,8,20,11,18,17,12,
10,0010,Moab 05:470,625,569,0,0,3,353,0,5,0,1,0,204,221,5,2,312,319,3,225,9,18,326,212,279,40,105,29,291,91,297,0,339,206,0,0,0,0,0,302,241,400,387,385,383,412,0,344,0,321,105,306,117,320,84,297,100,311,88,320,82,264,134,311,98,319,117,370,171,412,93,439,77,275,204,280,244,310,155,253,259,310,234,143,376,186,341,219,304,
10,0011,Moab 05:570,12,10,0,0,0,4,0,0,0,0,0,5,6,0,0,4,2,0,6,1,1,3,6,6,1,0,0,5,2,7,0,4,6,0,0,0,0,0,4,6,8,8,8,8,6,0,4,0,7,2,7,2,6,3,6,3,5,3,6,3,6,3,6,3,8,2,8,2,8,2,10,0,8,1,7,3,5,3,3,6,0,0,1,9,5,5,5,5,
10,0012,Thompson 06:469,31,26,0,0,1,14,0,1,0,0,0,10,18,0,0,8,7,2,16,1,1,10,14,20,3,2,2,17,6,22,22,0,0,0,0,16,10,0,10,15,24,26,24,25,25,0,0,0,19,6,20,5,18,5,18,5,19,4,19,3,18,4,18,4,18,5,21,4,22,3,23,3,16,10,21,5,14,10,17,9,0,0,9,17,11,15,11,15,
10,0013,Thompson 06:569,7,6,0,0,0,2,0,0,0,0,0,4,1,1,0,2,3,0,1,1,1,2,1,2,0,2,0,2,2,4,3,0,0,0,0,3,2,0,3,1,3,2,2,3,2,0,0,0,1,3,2,2,2,1,1,2,2,1,1,2,1,2,1,2,2,2,2,2,3,0,3,1,1,3,3,1,3,0,3,1,0,0,3,1,1,3,3,1,
10,0014,Thompson 06:570,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0,1,0,1,1,0,
10,0015,Green River 07:569,19,18,0,0,0,2,0,0,0,0,0,15,16,0,0,1,3,0,13,1,1,2,13,15,0,1,1,14,0,14,14,0,0,0,0,7,9,0,8,8,13,13,13,14,14,0,0,0,10,3,9,4,11,2,10,3,11,2,11,2,9,4,10,3,12,2,9,5,13,3,13,2,10,5,15,2,15,1,8,8,0,0,0,16,6,10,8,8,
10,0016,Green River 07:570,7,7,0,0,0,2,0,0,0,0,0,5,5,0,0,2,2,0,5,0,0,2,5,5,2,0,0,5,2,7,0,2,5,0,0,3,2,0,1,6,4,5,5,5,5,0,0,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,5,2,7,0,2,5,2,5,2,5,2,5,0,7,2,5,2,4,0,0,3,4,3,4,2,5,
10,0017,Castle Valley 08:469,270,247,0,0,0,166,0,3,0,1,0,74,80,1,4,154,154,1,82,7,6,165,73,99,31,58,26,114,36,121,124,0,0,0,0,84,152,0,182,49,185,172,168,179,196,0,0,0,120,55,106,67,126,44,115,52,125,43,125,43,104,63,118,51,116,63,184,54,186,39,206,27,100,117,104,126,166,53,104,128,0,0,48,180,53,176,44,183,
10,0018,Castle Valley 08:569,63,48,0,0,0,18,0,0,0,2,0,26,25,0,1,15,17,0,23,3,8,15,18,25,2,5,0,21,12,28,27,0,0,0,0,20,21,0,25,14,31,31,32,31,32,0,0,0,24,8,20,12,22,9,18,12,20,8,22,8,19,11,21,9,26,6,26,19,36,5,32,11,21,22,28,16,26,14,24,18,0,0,10,32,12,30,11,31,
